,種目,選手,記録,風,備考,区分
0,走高跳,小林　拓己,2.03,-,2等,
1,走高跳,小河　雅広,NM,-,-,
2,走高跳,足達　哲也,DNS,-,-,
3,円盤投,久保　謙太,27.20,-,4等,
4,走高跳,小河　雅広,1.70,-,-,
5,走高跳,足達　哲也,NM,-,-,
6,走高跳,小林　拓己,2.06,-,PB/工大新記録,
7,走高跳,小河　雅広,DNS,-,-,
8,走幅跳,刈田　浩平,DNS,-,-,
9,円盤投,久保　謙太,28.12,-,PB/歴代12位,
10,走幅跳,刈田　浩平,7.09,+0.6,優勝,
11,走高跳,小林　拓己,2.00,-,-,
12,走高跳,小林　拓己,2.00,-,,
13,走高跳,小河　雅広,1.70,-,-,
14,走幅跳,刈田　浩平,7.41,+3.5,-,
15,走幅跳,刈田　浩平,6.99,+1.2,-,
16,走高跳,小林　拓己,2.05,-,-,
17,走高跳,小河　雅広,1.85,-,-,
18,走高跳,櫛田　優,1.75,-,PB,
19,走高跳,小河　雅広,1.95,-,-,
20,走高跳,小林　拓己,2.02,-,2等,
21,走幅跳,櫛田　優,6.15,+1.6,PB,
22,走幅跳,刈田　浩平,DNS,-,-,
23,走幅跳,刈田　浩平,7.04,+2.1,-,
24,走高跳,小林　拓己,2.01,-,-,
25,走高跳,櫛田　優,1.75,-,-,
26,やり投,福井　義光,42.09,-,PB,
27,走高跳,小林　拓己,1.95,-,-,
28,走高跳,櫛田　優,1.80,-,PB/歴代11位,
29,やり投,福井　義光,43.35,-,PB,
30,走高跳,櫛田　優,1.80,-,-,
31,走高跳,小林　拓己,DNS,-,-,
